text,score
"Oh... my... god... this is without a doubt the absolute cheesiest movie I have ever seen. The acting is bad, the story is weak, the characters are weaker, and the whole film just doesn't make sense. Couple this with mediocre directing, really strange scenes (such as the one where the kid reaches over the ravine and mysteriously falls in), and thoroughly abysmal dialog (""Look!"" ""Musta peed his pants!""), and you get one complete failure. Not to mention the fact that the only thing Mr. Atlas looks like he could defeat is a case of chocolate bars. But this is part of the movie's charm. Sit down and watch it with a few of your friends for a good laugh. <br /><br />I love this movie, because it's just SO BAD!",0
"I like many others saw this as a child and I loved it and it horrified me up until adulthood, I have been trying to find this movie and even been searching for it to play again on TV someday, since it originally played on USA networks. Does Anyone know where to buy this movie, or does anyone have it and would be willing to make a copy for me? Also does anyone know if there is a chance for it to be played on TV again? Maybe all of us fans should write a station in hopes of them airing it again. I don't think they did a good job of promoting this movie in the past because no one really knows about, people only know of the Stepford wives and Stepford husband movies. No one is familiar with the fact that there was a children version. Maybe they should also do a re-make of it since they seem to be doing that a lot lately with a lot of my favorite old thriller/horror flicks. Well if anyone has any input Please I Beg Of You write me with information. Thanks Taira tcampo23@aol.com",1
"Following a 19th century gun dual that goes awry, a charming young woman becomes a vampire. Not only does she become one of the undead, she uses her goth, temptress persona to sustain her talents as a cold blooded assassin. This is a low grade B feature that should have went straight to video. The violence is vicious and gory, but actually quite mild. The story line is so weak and dialogue so haphazard it is hard to work up much interest. Eileen Daly is the lead character Lilith Silver. Also in the cast are Mark Caven, Kevin Howarth, and Isabel Brook.",0
"I'm a 55-year-old fairly jaded gay white man. Since I don't watch TV, I watch at least 250 films a year, most on DVD. I keep notes on all the films I see and rate them. Since December 2003, I have seen only five films as great as EIGHTEEN. So, I've rated EIGHTEEN better than at least 700 other recent films. Mr. Bell is far too modest in his film commentary. EIGHTEEN is a Great Film. And, it also resulted in two ""firsts"" for me.<br /><br />I watched the film, the first time, and I was riveted throughout and weepy during the last half hour, something that's only happened to me three times before. (Five minutes into the film I knew it was going to be very good.) When Jason began reciting Whitman, I lost it, and then... The Kiss. Well, that is one of Film's great kisses, and that scene among Filmdom's most poignant and unforgettable. When Pip blows out the candle at the end and the credits rolled, I clapped. I cheered. I love happy endings. I wept.<br /><br />Then I watched the trailer and the TLA previews and thought, ""Okay, is this $800,000 or so Indie really that Great?"" So, I immediately watched EIGHTEEN again, something that's only happened three times before. And, EIGHTEEN blew my socks off yet again, even more so. Then I watched ""The Making of EIGHTEEN"" documentary and was completely charmed by the cast and Mr. Bell.<br /><br />So, I thought I'd watch EIGHTEEN again with the Director's Commentary. I have never before watched a film three times in one night. After the third time, at 3:00 AM, I knew I had just experienced a Great Film; EIGHTEEN now ranks #10 on my Top Twenty Films of all time. And, in the very small universe of great gay or gay-subtext film, there is Brokeback Mountain, EIGHTEEN, Mulholland Drive, and Maurice.<br /><br />Thank you Mr. Bell! EIGHTEEN is brilliant and fully-realized, with a magnificent cast, a wonderfully moving, understated score, excellent cinematography, an entertaining, touching, totally appropriate and hummable song. I can go on, but I won't gush too much more.<br /><br />This film should have received Oscar nominations, certainly one for Best Picture. The performances, without exception, were all wonderful. Ms. Gill's lovely, sultry voice was a surprising epiphany. And Sir Ian McKellen? 'Nuf said. Awesome.<br /><br />EIGHTEEN is the reason I slog through over 200 mediocre to utterly horrendous films (some in the $150 million plus range) a year, to find that one treasure, that one exquisite, magical, unique and enchanting, perfect ""Faberge egg"" enfolding an unforgettable heart.<br /><br />Finally (I promise), my second ""first"" -- I've never before posted a commentary on any film I've seen.<br /><br />Thank you again, Mr. Richard Bell! Breathtaking genius. Give this man $100 million for his next film! He made $700,000 US into one of the top 50 films of all time. If I had the cash, I'd grant him $75,000 a year living expenses and match any funds raised for his next film. Mr. Bell is already a great director at 31-years old. Can you imagine him at 45-years old?<br /><br />Wise and witty, tender and brutal, poised, poignant, understated yet edgy, chilling and thrilling, mesmerizing, haunting, unforgettable: EIGHTEEN, THE MASTERPIECE.",1
"A photographer in the small city of Gunsan in South Korea learns that he has a terminal illness but downplays the seriousness of it to his family and friends. We never find out the nature of the disease but the main focus of Hur Jin-ho's poignant first film Christmas in August is not his illness. It is the grace in which he conducts his life - his ability to accept what life has in store without remorse. Sadly, it was the final film shot by cinematographer Yoo Young-kil before his death, and the film is dedicated to his memory.<br /><br />The photographer, Jung-won, is played by Han Suk-kyu, at one time, Korea's most popular star. A handsome man in his early thirties with an infectious laugh, he is so warm and full of vitality that it is difficult to picture him as nearing the end of life. Jung-won owns a small photography shop and lives at home with his hard of hearing father (Goo Shin) and sister (Oh Ji-hye), teaching his dad how to play movies on the VCR, and writing instructions for him to take over his shop if he were to die. As Jung-won goes about the day-to-day business of getting his affairs in order, Dar-im (Shim Eun-ha), a meter reader, comes into his store with an urgent request for some photographic enlargements.<br /><br />Abrupt and impatient, he treats her with disdain but later apologizes and she becomes a regular customer. Without overt expression of romantic feelings, their relationship develops a growing intimacy. Love is not something they say or do. It is their ground of being, the place where they come from. To protect Dar-im from suffering, Jung-won does not tell her that he has only a short time to live but this does not make the situation any easier for her. Inevitably his increasing absence from the shop causes her to feel betrayed and frustrated to the point where she throws a rock through the shop's window. Although Jung-won's decision to withhold his illness from Dar-im is open to question, it feels organic to his character in the film and is not used simply as a plot device or an excuse for the character to ""live life to the fullest"" by playing around.<br /><br />One of the most touching sequences in the film is when an elderly woman returns to his studio to take a memorial photo of herself. Jung-won makes sure the picture is an exact likeness, knowing that soon he will be taking his own picture of remembrance. Christmas in August is an unpretentious film that never resorts to melodrama to make its point. It is about taking pleasure in ordinary moments: riding a bike, sharing a joke, eating ice cream, being thoughtful and considerate, and feeling good about what life has to offer. It is a love story where love means having to say you're sorry. Although there have been many films on the dying process, Christmas in August propels the genre in a new direction and, in the process, offers an unforgettable commentary on the human condition. Incongruously, this film about death is an experience of the utmost joy.",1
"The movie wasn't all that great. The book is better. But the movie wasn't all that bad either. It was interesting to say the least. The plot had enough suspense to keep me watching although I wouldn't say I was actually interested in the movie itself. Janine Turner and Antonio Sabato Jr are both gorgeous enough to keep you watching :)They have a few cute scene's that should appeal to the romantic's. Overall I'd give the movie a 7 or 8. It wasn't bad, Just a little lacking plot wise.",1
"I rented this movie with very low expectations, but was pleasantly surprised. This movie is extremely good stuff. And one would never guess it was low budget.<br /><br />EIGHTEEN, directed by 'Richard Bell' centers around an 18 year old named Pip, played by the superb 'Paul Anthony' who leaves his home because of the circumstances surrounding the way his older brother died. He is overcome with guilt by this event and falls into a hard life of a runaway teen on drugs and alcohol. On his 18th birthday, his father tracks Pip down and gives him a tape left for him by his grandfather, of which he was to listen to on his 18th birthday.<br /><br />The way the whole film is told is with two simultaneous stories unfolding at the same time. The present life of Pip and the past life of his grandfather during WW11 of which Pip listens to on the tape.<br /><br />The three outstanding performances in this movie are the ones from 'Paul Anthony' as Pip and 'Brenden Fletcher' playing Jason, the young 18 year WW11 soldier, his grandfather. Also, the role of the WW11 wounded medic 'Macauley' played by 'Mark Hildreth.' All putting in fine performances.<br /><br />A couple of concerns and scenes that didn't sit too well with me...the priest, Father Chris played by 'Alan Cumming' who is gay and in broad daylight pick's up the local street hustler the whole neighborhood knows about. And then we have the local store clerk named Jeff, a sweetheart played by the attractive 'David Beaszely' who just wants to be loved, and for some unknown reason is attracted to the very unattractive and sleaze ball street hustler, Clerk, who sleeps with just about anyone and in all likelihood is a walking toxic time bomb. On top of all that he's not a very likable person. This part just didn't ring true.<br /><br />The parts I really like the most was the flashbacks to the War. They were so well acted and very touching. There is a scene at the end where the one soldier is dying and the other soldier, 'Jason' is there for him to comfort and show him love as he lays badly injured and dying. This is such a wonderful and touching scene it left me in tears. Beautifully acted.<br /><br />I highly recommend this movie. It is one of love, redemption and the power of the human spirit to survive.",1
"Clearly rips off Hideo Nakata's Ringu (Ring, 1998) and Hongurai Mizu no Soko Kara (Dark Water, 2002), with hints of Ju-On (The Grudge, 2000), but atrociously done gore (a green corpse with red eyes!?) weak story, and a weak theme (I find it very difficult to find a picture message scary). There were two moments in this film that made me shudder, both involving an unexpected hand, and after Oodishon (another Miike Takashi one, this one from 1999) had me tingling all over for hours after seeing it, and all of the films this steals from were actually scary, I can't see this film as anything other than a sell-out to the western popularity of the big Japanese horror films. Two out of ten.",0
"This is the second movie about 1985, the other one was 'The Wedding Singer'. Whilst the 'Wedding Singer' was portraying the pop side of the 80's, 'Rock Star' is all about metal.<br /><br />Mark Wahlberg plays a talented singer in a tribute band of some famous rock act of the time and Jennifer Aniston plays his girlfriend. When his fixation rewards him, his whole life changes in a day.<br /><br />The story doesn't get too dramatic and it only scratches the surface of the life of a rock star. Sex and drugs are very limited in this movie, but it is full of Rock'n Roll! The music is fantastic and the concerts are directed brilliantly! The whole concert feeling is very well captured, since they used real audiences (no cgi here).<br /><br />Great direction and a brilliant performance by Marky Mark, who acts like a true metal dude!<br /><br />'Rock Star' is all about fun and if you had anything to do with the old metal scene, you are going to love this movie!<br /><br />10/10",1
"This British-Spanish co-production is one of the countless films shot in Spain in the wake of the unexpected phenomenal success enjoyed by the Italian ""Spaghetti"" Westerns and, as is typical of such genre efforts, features an eclectic assortment of established and emerging international stars: Robert Shaw, Telly Savalas, Stella Stevens, Martin Landau, Fernando Rey, Michael Craig, Al Lettieri, Dudley Sutton, Antonio Mayans, etc. Ironically, however, this incoherent mess of a movie serves as a shining example as to why that most American of film genres became a dying breed in the 1970s and is nowadays practically (or is that officially?) extinct.<br /><br />I really wanted to like this film, not only because the Western is one of my favorite types of movies but also because it had all the qualities, including an intriguing premise, to be a good one - not to mention the fact that my father had purchased a paperback edition of A TOWN CALLED BASTARD's novelization following its original release! As it is, the film's sole virtue (if, indeed, it can even be called that) is its sheer eccentricity: for instance, Stevens, playing a widow out for revenge on the man who betrayed her revolutionary husband, sleeps inside a coffin(!) driven around in a carriage by her dumb manservant(?) Sutton; Savalas, as a blood-thirsty renegade, who at first appears to be the film's main villain, is unceremoniously dispatched by his own henchman Lettieri very early on in the picture; the villain of the piece, then, turns out to be Landau who, in the film's very first scene, is seen pillaging side-by-side our legendary hero-turned-priest Shaw!; Fernando Rey, playing a blind peasant, is the only one who can identify rebel Shaw who, in the end turns out to have been merely a front for...well, nevermind! As you can see, the plot is very confusing and it gets stranger from there! The production team responsible for this film were also behind other Western fare around the same period of time, like CUSTER OF THE WEST (1967), BAD MAN'S RIVER (1971), CAPTAIN APACHE (1971) and PANCHO VILLA (1972).",0
"True stories make the best stories don't they? There's always something enjoyable about a story, be it novel or movie or whatever, simply by the fact that it's real makes the story all the more fascinating. This movie is based on a true story of two young American men, one a government employee and falcon enthusiastChris Boyce (Timothy Hutton)and the otherAndrew Daulton Lee (Sean Penn)is a drug dealer. These two begin selling government, mostly CIA, secrets in 1975 to the Soviet Union.<br /><br />The film focuses on the human aspect of the two men, as well as their growing personal problems (especially Penn's character with ever-worsening drug addictions), rather than glorifying their status as traitors to America, which would, no doubt, hurt the film's credibility in the US. Boyce gradually becomes more cautious and eventually frustrated and paranoid as their dealings drag on and they dig ever deeper into treacherous territory. Daulton becomes more dependent and addicted to cocaine and heroin as he becomes more frightened, and more desperate to maintain control over a situation he has no control overon top of which, he already has problems with the law. The torment of Boyce and Daulton's families because of the way they lead their lives is also well portrayed and adds well to the idea that espionage against one's country, even if thought to be done justly, leads only to major problems and the ruination of livesincluding the degradation of the friendship and trust between the two main characters.<br /><br />Here's the breakdown:<br /><br />The Good:<br /><br />--Hutton and Penn each did extensive research on the characters to capture their individual look and feel, so they're portrayed with extensive depth and realism.<br /><br />--The acting is excellent.<br /><br />--The atmosphere of paranoia builds quite well.<br /><br />--The story is fascinating, and of course, as one based on actual events, it has some added kick.<br /><br />--Nice sets.<br /><br />--The Soviets working with the Boyce and Daulton are portrayed very well, and not stereotyped or given evil consciences just for the sake of making them look bad.<br /><br />Didn't Hurt It, Didn't Help:<br /><br />--The music is alright, nothing perfect though.<br /><br />--Sound effects are occasionally a little iffysuch was the case with a lot of films from the seventies through the eighties.<br /><br />The Bad:<br /><br />--Chris Boyce (Timothy Hutton) has a relationship with a woman that we hardly know. Because of Boyce's trouble brewing with the US and Soviet Governments, her life can be put in jeopardybut this isn't as expanded upon as it feels it should've been. Minor problem, though.<br /><br />The Ugly:<br /><br />--The apparent simplicity required to sell government secrets is a little unnerving. Nothing like a constant state of unreadiness to keep the masses feeling as unsafe as possible.<br /><br />Memorable Scene:<br /><br />--Seeing the first CIA report accidentally sent to the wrong place with the reason being, ""rough night.""<br /><br />This was another film that suffered massive delays due to the controversial content of the story. Studios and producers didn't see how a movie about two American traitors could ever be accepted by American audiences. Luckily, it's filmed and portrayed with a high degree of class and quality. Of course, it helps that the traitorous anti-heroes aren't portrayed heroicallymore like a couple young men who've made gross errors in judgment in their lives. As such, it becomes a very human drama, and one portrayed very well and very believably.<br /><br />Acting: 9/10 Story: 10/10 Atmosphere: 8/10 Cinematography: 8/10 Character Development: 9/10 Special Effects/Make-up: 8/10 (little quantity, high quality) Nudity/Sexuality: 2/10 (one scene in a strip club) Violence/Gore: 7/10 (no gore, just some violence) Music: 7/10 Direction: 9/10<br /><br />Cheesiness: 0/10 Crappiness: 0/10<br /><br />Overall: 8/10<br /><br />If you like films about espionage and spies, then you can't go wrong here. If you like dramatic films with a strong focus on the humanity of the characters, then this may also work for you. Highly recommended.<br /><br />www.ResidentHazard.com",1
"i tried to sit through this bomb not too long ago.what a disaster .the acting was atrocious.there were some absolutely pathetic action scenes that fell flat as a lead balloon.this was mainly due to the fact that the reactions of the actors just didn't ring true.supposedly a modern reworking of the Hitchcock original ""Lifeboat"".i think Hictcock would be spinning circles in his grave at the very thought of it.from what i was able to suffer through,there is nothing compelling in this movie.it boasts a few semi big names,but they put no effort into their characters.but,you know,to be fair,it was nobody's fault really.i mean,i'm pretty sure the script blew up in the first explosion. LOL.it is possible that this thing ends up improving as it goes along.but for me,i'm not willing to spend at least three days to find out.so unless you have at least a three day weekend on the horizon,avoid this stinker/ 1/10",0
"May or may not contain spoilers. <br /><br />Inuyasha is not a good anime. It's actually very overrated. Why? There's absolutely no story line, no plot, and the show just drags on... and on... and on... That's because there are more side stories and fillers than episodes that make the plot progress. And the fillers are just the same stories being repeated over and over again. The same episodes seem to go with the same plot: Kagome sensing a jewel shard, a worm/slime/tentacle demon thing pops up, Inuyasha says ""Wind-Scar"", ""Iron Reaver Soul Stealer"", etc. and kills the demon, they get the jewel shard, and then we just repeat this scene 160 or more times.<br /><br />Besides the repeating of episodes, there's the repeating of comedic devices, and they're not funny anymore. Wait, they never were. Sexual harassment is NOT funny. Viz rated the series Older Teens, 16+. I have no idea why they rated it that. There's nothing bad about it except for the so-called funny sexual harassment, which is kind of suggestive, and that could get you arrested these days.<br /><br />Now, this is how we know Inuyasha is overrated. The videogames. They all sucked. Especially the Mask game. I played that at my friend's house. It wasn't anything interesting. The game was slow, boring, and it had Nintendo 64 like graphics. In a magazine, it got a rating of 4/10, saying ""...this role-playing game is slower than milkshake moving up a cocktail straw."" Then, there's all these stupid Inuyasha toys, action figures, trading cards, stickers, and coloring books. COLORING BOOKS! We thought Inuyasha was 16+! Maybe not... But after being a member of Inuyasha groups on MSN, about half the people on there were 10 to 13. I guess Inuyasha is a little kid anime after all. (I think that just a small bit of editing done to this show, it could be shown on Toonami.) There are over 40 manga volumes. I can only help but wonder how many miles of forest that have been cut down to make them. Sad...<br /><br />Then there's the music. The music is so annoying. We hear the same 5 songs every episode. After 10 episodes, the music gets really annoying. In other anime, they have music to fit the mood and we don't hear some songs very often. There are about 15 different Inuyasha soundtracks. Don't waste your money on that garbage!<br /><br />And how do you think I know all this? Because I used to be a fan of Inuyasha. I feel ashamed of myself. I'd rather watch Kim Possible or Pokemon instead. Sadly, those two shows have more romance between the two main protagonists than Inuyasha will ever have...",0
I've had to change my view on the worst film in the world having just seen this one. THIS IS IT!<br /><br />Make no mistake this film is awful.<br /><br />Here's a list of reasons:<br /><br />Hopeless storyline (despite being based on a true story). Dreadful acting (what was Judge Reinhold thinking) Unbelieveably bad stunts. Childish dialogue. Non-existent continuity. Lack of atmosphere.<br /><br />Get the picture?<br /><br />,0
"Jim Henson's Muppets were a favorite of mine since childhood. This film makes me feel like a kid again. Okay, the Muppets are back with Miss Piggy and Kermit the Frog and their friends. The premise is that they are trying to get on Broadway in a musical show in where else but New York City. You will see cameos by the then New York City Mayor Ed Koch. Anyway, the film turns 25 this year and I hope the kids of today will learn to appreciate the lightheartedness of the Muppets Gang. The problem with the show is Kermit goes missing and the gang has to find him in New York City. It's worth watching for kids and even sentimental adults like myself.",1
"Jimmy Wang Yu, an authentic Asian superstar, directed and wrote this film which I have only seen in a dubbed videotape version. The widescreen (Shaw Scope!)shape was lost and the original actor's voices absent but this is still good to watch. The story is the usual martial arts school fights villains from Japan plot with our young hero winning out in the end by beating up loads of assorted thugs.<br /><br />The combat gets better as the film unravels. Early in the film it looks stiff and dull but later there is a great scene where Wang Yu fights hordes in a gambling joint then walks out into a snowy scene and takes some more villains on with knives, sword and fists. That part is very exciting.<br /><br />Quite good then but it would be interesting to see a non dubbed widescreen version if there is one.",1
